"Id","SalePrice"
1461,119315.652828782
1462,168090.324653164
1463,183180.67598113
1464,189759.928703822
1465,200164.96851078
1466,171408.173743098
1467,175289.614239937
1468,168667.933580014
1469,178271.950761209
1470,126360.118557255
1471,190220.27310769
1472,97053.1637528436
1473,97593.8607534798
1474,154220.09978672
1475,123192.499332737
1476,410576.188843529
1477,262125.024554949
1478,284902.013386561
1479,259195.559427784
1480,438453.734646712
1481,354761.772371574
1482,206977.848104592
1483,175360.995821514
1484,168656.406571998
1485,186695.180517319
1486,194260.508629981
1487,335531.323371216
1488,231143.296485035
1489,196233.209936409
1490,227595.62813922
1491,187104.522430479
1492,88123.2466045253
1493,172945.76580598
1494,291539.295964757
1495,294772.305089329
1496,225278.838977899
1497,175703.011356586
1498,169373.588889083
1499,162848.461534167
1500,152847.798927187
1501,178427.880038062
1502,166445.294025591
1503,305785.318008497
1504,246901.624065068
1505,226963.588420199
1506,176643.353721933
1507,231318.177491957
1508,201941.651760986
1509,160886.015228663
1510,151338.527740769
1511,146919.706518765
1512,176304.795217083
1513,146028.074831115
1514,167559.012590848
1515,173063.134994915
1516,147566.005971173
1517,163726.390904005
1518,130859.430177152
1519,211548.791405067
1520,135006.489484046
1521,133361.482924399
1522,170101.95416311
1523,118597.81391001
1524,120978.255142894
1525,123071.603150039
1526,117852.234344983
1527,104818.99761896
1528,133936.743335635
1529,155061.470110989
1530,178799.403353147
1531,102624.959663356
1532,97871.8087257693
1533,149308.772664782
1534,117968.929517203
1535,164515.887535018
1536,110569.655767034
1537,67012.0346756739
1538,154198.491701262
1539,194024.306096768
1540,79360.3116378225
1541,147511.294069689
1542,140537.102148896
1543,220262.900318343
1544,78598.0750564854
1545,114333.589186387
1546,125107.741089322
1547,137007.56571295
1548,139360.469604543
1549,118784.178368582
1550,136958.489658695
1551,112135.677687356
1552,132541.530555699
1553,162654.32865725
1554,116126.955304369
1555,156220.779646239
1556,74919.9401089279
1557,104311.147308009
1558,98208.1481835699
1559,85574.5488568375
1560,139215.415065823
1561,153471.901373752
1562,124655.196239127
1563,120538.503278382
1564,161232.171861394
1565,141774.369074033
1566,232765.617037233
1567,71744.9019250221
1568,227566.757473138
1569,150289.830952891
1570,137085.449801567
1571,121360.283384306
1572,144681.43226459
1573,224781.674859221
1574,108943.63487896
1575,206703.073005234
1576,225543.242694837
1577,192386.597475987
1578,142589.264815739
1579,144368.92112891
1580,188443.606408137
1581,160033.331330198
1582,128387.014956917
1583,320755.623859744
1584,220674.499457524
1585,143417.293223066
1586,66355.14326032
1587,107992.277801414
1588,147172.076111181
1589,99925.861401373
1590,133928.880079386
1591,98711.3528850776
1592,123976.797729144
1593,122848.473815794
1594,147671.487911057
1595,106724.090674056
1596,245469.675742928
1597,184243.197493391
1598,216661.023918455
1599,166133.931810866
1600,157922.831864529
1601,55104.6473167402
1602,106255.129480063
1603,85768.1445893181
1604,277617.086789207
1605,242589.935110001
1606,170785.213777356
1607,157162.895741329
1608,216766.416471162
1609,190979.400161193
1610,152869.833814661
1611,140914.521185969
1612,161408.901624222
1613,156717.147239708
1614,128038.278080677
1615,96156.0004222561
1616,76605.6630193079
1617,97154.9017298323
1618,124115.449053547
1619,136832.125567288
1620,169783.585503932
1621,134481.541896423
1622,143094.49766212
1623,301158.154875906
1624,195744.987481443
1625,121410.077322849
1626,163152.69222082
1627,187880.633167899
1628,279263.756508238
